KÛd obce,N·zev obce,VoliËi v seznamu,VydanÈ ob·lky,PlatnÈ hlasy,ObËansk· demokratick· strana,ÿ·d n·roda - Vlasteneck· unie,CESTA ODPOVÃDN… SPOLE»NOSTI,»esk· str.soci·lnÏ demokrat.,RadostnÈ »esko,STAROSTOV… A NEZ¡VISLÕ,Komunistick· str.»ech a Moravy,Strana zelen˝ch,"ROZUMNÕ-stop migraci,dikt·t.EU",Strana svobodn˝ch obËan˘,Blok proti islam.-Obran.domova,ObËansk· demokratick· aliance,»esk· pir·tsk· strana,Unie H.A.V.E.L.,Referendum o EvropskÈ unii,TOP 09,ANO 2011,Dobr· volba 2016,SPR-Republ.str.»sl. M.Sl·dka,K¯esù.demokr.unie-»s.str.lid.,»esk· strana n·rodnÏ soci·lnÌ,REALIST…,SPORTOVCI,DÏlnic.str.soci·lnÌ spravedl.,Svob.a p¯.dem.-T.Okamura (SPD),Strana Pr·v ObËan˘
571342,SvrkynÏ,233,153,152,,,,,,,,,,,,,,,,,,,,,,,,,,
539732,ätÏchovice,1 504,1 031,1 026,,,,,,,,,,,,,,,,,,,,,,,,,,
531821,Tachlovice,754,484,482,,,,,,,,,,,,,,,,,,,,,,,,,,
598313,Trnov·,215,163,163,,,,,,,,,,,,,,,,,,,,,,,,,,
539759,T¯ebotov,1 048,744,740,,,,,,,,,,,,,,,,,,,,,,,,,,
539767,TuchomÏ¯ice,1 017,721,715,,,,,,,,,,,,,,,,,,,,,,,,,,
539775,Tursko,617,392,390,,,,,,,,,,,,,,,,,,,,,,,,,,
571351,⁄holiËky,582,402,400,,,,,,,,,,,,,,,,,,,,,,,,,,
532991,⁄honice,872,604,595,,,,,,,,,,,,,,,,,,,,,,,,,,
539805,⁄nÏtice,501,393,391,,,,,,,,,,,,,,,,,,,,,,,,,,
539813,VelkÈ P¯Ìlepy,2 195,1 602,1 588,,,,,,,,,,,,,,,,,,,,,,,,,,
513458,Vestec,1 421,1 036,1 032,,,,,,,,,,,,,,,,,,,,,,,,,,
539830,Vonoklasy,426,305,304,,,,,,,,,,,,,,,,,,,,,,,,,,
539848,VranÈ nad Vltavou,1 964,1 313,1 307,,,,,,,,,,,,,,,,,,,,,,,,,,
539856,Vöenory,1 293,929,916,,,,,,,,,,,,,,,,,,,,,,,,,,
571288,Zaho¯any,239,171,169,,,,,,,,,,,,,,,,,,,,,,,,,,
539872,Zbuzany,854,598,591,,,,,,,,,,,,,,,,,,,,,,,,,,
539881,ZlatnÌky-Hodkovice,982,660,655,,,,,,,,,,,,,,,,,,,,,,,,,,
539902,Zvole,1 284,944,934,,,,,,,,,,,,,,,,,,,,,,,,,,
